A1,A2,A3,A4,PrestateA1,PrestateA2,PrestateA3,PrestateA4,BacknodeA1,BacknodeA2,BacknodeA3,BacknodeA4,Light,0.853931754,A1,A2,A3,A4
1,2,3,4,0,0,0,0,0,0,0,0,A4,0.915846824,9,37,165,440
1,2,3,4,0,0,0,0,0,0,0,1,A4,0.246636908,2,10,44,118
1,2,3,4,0,0,0,0,0,0,1,0,A4,0.610110375,6,24,165,293
1,2,3,4,0,0,0,0,0,0,1,1,A4,0.752396475,8,30,68,120
1,2,3,4,0,0,0,0,0,1,0,0,A4,0.62967444,6,25,57,101
1,2,3,4,0,0,0,0,0,1,0,1,A4,0.805340626,8,32,72,515
1,2,3,4,0,0,0,0,0,1,1,0,A4,0.088690714,1,4,8,43
1,2,3,4,0,0,0,0,0,1,1,1,A4,0.634650717,6,25,57,406
1,2,3,4,0,0,0,0,1,0,0,0,A4,0.841992408,8,67,76,269
1,2,3,4,0,0,0,0,1,0,0,1,A4,0.133276964,1,5,36,64
1,2,3,4,0,0,0,0,1,0,1,0,A4,0.907660438,9,36,245,290
1,2,3,4,0,0,0,0,1,0,1,1,A4,0.694663242,7,28,63,333
1,2,3,4,0,0,0,0,1,1,0,0,A4,0.25697256,3,21,23,164
1,2,3,4,0,0,0,0,1,1,0,1,A4,0.158363785,2,6,29,25
1,2,3,4,0,0,0,0,1,1,1,0,A4,0.718473471,7,29,65,115
1,2,3,4,0,0,0,0,1,1,1,1,A4,0.320375266,3,26,58,154
1,2,3,4,0,0,0,1,0,0,0,0,A4,0.693292672,7,28,62,111
1,2,3,4,0,0,0,1,0,0,0,1,A3,0.394612195,4,32,71,126
1,2,3,4,0,0,0,1,0,0,1,0,A4,0.885757133,9,71,80,425
1,2,3,4,0,0,0,1,0,0,1,1,A4,0.053759109,1,4,15,34
1,2,3,4,0,0,0,1,0,1,0,0,A4,0.611263081,6,24,55,391
1,2,3,4,0,0,0,1,0,1,0,1,A3,0.84035777,8,34,76,538
1,2,3,4,0,0,0,1,0,1,1,0,A4,0.022808471,0,1,4,4
1,2,3,4,0,0,0,1,0,1,1,1,A4,0.756912174,8,61,68,121
1,2,3,4,0,0,0,1,1,0,0,0,A4,0.907623756,9,73,245,436
1,2,3,4,0,0,0,1,1,0,0,1,A3,0.591249364,6,24,53,95
1,2,3,4,0,0,0,1,1,0,1,0,A4,0.456476333,5,37,123,292
1,2,3,4,0,0,0,1,1,0,1,1,A4,0.768708786,8,61,69,123
1,2,3,4,0,0,0,1,1,1,0,0,A4,0.052550753,1,2,14,25
1,2,3,4,0,0,0,1,1,1,0,1,A3,0.580956416,6,23,105,372
1,2,3,4,0,0,0,1,1,1,1,0,A4,0.975523834,10,78,263,312
1,2,3,4,0,0,0,1,1,1,1,1,A4,0.238014975,2,19,43,38
1,2,3,4,0,0,1,0,0,0,0,0,A4,0.83698944,8,67,75,134
1,2,3,4,0,0,1,0,0,0,0,1,A4,0.160176737,2,13,43,103
1,2,3,4,0,0,1,0,0,0,1,0,A4,0.056526527,1,5,5,18
1,2,3,4,0,0,1,0,0,0,1,1,A4,0.384000463,4,31,35,61
1,2,3,4,0,0,1,0,0,1,0,0,A4,0.967932648,10,77,261,619
1,2,3,4,0,0,1,0,0,1,0,1,A4,0.903247909,9,72,163,578
1,2,3,4,0,0,1,0,0,1,1,0,A4,0.12220996,1,10,33,39
1,2,3,4,0,0,1,0,0,1,1,1,A4,0.358195429,4,29,32,115
1,2,3,4,0,0,1,0,1,0,0,0,A4,0.230094874,2,9,62,37
1,2,3,4,0,0,1,0,1,0,0,1,A4,0.189117482,2,8,34,91
1,2,3,4,0,0,1,0,1,0,1,0,A4,0.900712714,9,36,162,144
1,2,3,4,0,0,1,0,1,0,1,1,A4,0.295112574,3,12,53,94
1,2,3,4,0,0,1,0,1,1,0,0,A4,0.505886283,5,40,46,162
1,2,3,4,0,0,1,0,1,1,0,1,A4,0.493753456,5,40,89,158
1,2,3,4,0,0,1,0,1,1,1,0,A4,0.489679862,5,39,88,313
1,2,3,4,0,0,1,0,1,1,1,1,A4,0.047892091,0,4,9,15
1,2,3,4,0,0,1,1,0,0,0,0,A4,0.422151468,4,34,38,68
1,2,3,4,0,0,1,1,0,0,0,1,A4,0.110350315,1,4,20,35
1,2,3,4,0,0,1,1,0,0,1,0,A4,0.111884564,1,9,30,18
1,2,3,4,0,0,1,1,0,0,1,1,A4,0.159715714,2,6,43,102
1,2,3,4,0,0,1,1,0,1,0,0,A4,0.12807307,1,10,12,61
1,2,3,4,0,0,1,1,0,1,0,1,A4,0.653854571,7,52,59,418
1,2,3,4,0,0,1,1,0,1,1,0,A4,0.920860484,9,74,249,147
1,2,3,4,0,0,1,1,0,1,1,1,A4,0.502620755,5,40,136,241
1,2,3,4,0,0,1,1,1,0,0,0,A4,0.522380867,5,42,47,167
