A1,A2,A3,A4,PrestateA1,PrestateA2,PrestateA3,PrestateA4,BacknodeA1,BacknodeA2,BacknodeA3,BacknodeA4,Light
2,10,22,78,0,0,0,0,0,0,0,0,A4
6,26,57,102,0,0,0,0,0,0,0,1,A4
6,25,111,197,0,0,0,0,0,0,1,0,A4
8,63,142,378,0,0,0,0,0,0,1,1,A4
9,35,236,140,0,0,0,0,0,1,0,0,A4
9,36,82,292,0,0,0,0,0,1,0,1,A4
8,66,74,530,0,0,0,0,0,1,1,0,A4
8,60,68,362,0,0,0,0,0,1,1,1,A4
7,58,131,232,0,0,0,0,1,0,0,0,A4
10,38,86,611,0,0,0,0,1,0,0,1,A4
4,15,102,181,0,0,0,0,1,0,1,0,A4
2,8,55,65,0,0,0,0,1,0,1,1,A4
7,58,65,347,0,0,0,0,1,1,0,0,A4
10,80,270,479,0,0,0,0,1,1,0,1,A4
10,80,268,477,0,0,0,0,1,1,1,0,A4
6,48,54,193,0,0,0,0,1,1,1,1,A4
3,11,49,44,0,0,0,1,0,0,0,0,A4
2,18,62,36,0,0,0,1,0,0,0,1,A3
4,29,66,59,0,0,0,1,0,0,1,0,A4
2,7,31,55,0,0,0,1,0,0,1,1,A4
9,74,251,148,0,0,0,1,0,1,0,0,A4
9,35,78,417,0,0,0,1,0,1,0,1,A3
7,54,183,435,0,0,0,1,0,1,1,0,A4
1,6,12,33,0,0,0,1,0,1,1,1,A4
6,23,52,93,0,0,0,1,1,0,0,0,A4
7,54,123,327,0,0,0,1,1,0,0,1,A3
5,39,132,157,0,0,0,1,1,0,1,0,A4
4,29,32,228,0,0,0,1,1,0,1,1,A4
10,80,269,159,0,0,0,1,1,1,0,0,A4
4,16,109,129,0,0,0,1,1,1,0,1,A3
5,21,96,171,0,0,0,1,1,1,1,0,A4
2,9,20,36,0,0,0,1,1,1,1,1,A4
1,11,36,43,0,0,1,0,0,0,0,0,A4
10,79,267,317,0,0,1,0,0,0,0,1,A4
1,10,34,81,0,0,1,0,0,0,1,0,A4
7,26,179,424,0,0,1,0,0,0,1,1,A4
2,9,63,113,0,0,1,0,0,1,0,0,A4
7,29,130,116,0,0,1,0,0,1,0,1,A4
3,13,58,155,0,0,1,0,0,1,1,0,A4
1,4,10,69,0,0,1,0,0,1,1,1,A4
1,6,39,23,0,0,1,0,1,0,0,0,A4
3,20,46,40,0,0,1,0,1,0,0,1,A4
4,15,102,60,0,0,1,0,1,0,1,0,A4
2,12,14,73,0,0,1,0,1,0,1,1,A4
5,21,94,334,0,0,1,0,1,1,0,0,A4
5,37,42,299,0,0,1,0,1,1,0,1,A4
5,39,88,236,0,0,1,0,1,1,1,0,A4
1,3,7,37,0,0,1,0,1,1,1,1,A4
2,7,30,53,0,0,1,1,0,0,0,0,A4
7,30,134,238,0,0,1,1,0,0,0,1,A4
6,49,110,391,0,0,1,1,0,0,1,0,A4
1,4,26,31,0,0,1,1,0,0,1,1,A4
9,69,154,274,0,0,1,1,0,1,0,0,A4
1,7,23,42,0,0,1,1,0,1,0,1,A4
8,34,76,540,0,0,1,1,0,1,1,0,A4
4,34,38,273,0,0,1,1,0,1,1,1,A4
9,35,158,140,0,0,1,1,1,0,0,0,A4
4,35,120,284,0,0,1,1,1,0,0,1,A4
4,36,81,143,0,0,1,1,1,0,1,0,A4
10,40,268,159,0,0,1,1,1,0,1,1,A4
0,1,1,5,0,0,1,1,1,1,0,0,A4
7,29,64,229,0,0,1,1,1,1,0,1,A4
4,30,68,242,0,0,1,1,1,1,1,0,A4
8,63,212,502,0,0,1,1,1,1,1,1,A4
7,26,119,317,0,1,0,0,0,0,0,0,A4
7,28,192,228,0,1,0,0,0,0,0,1,A4
5,44,49,348,0,1,0,0,0,0,1,0,A4
2,13,30,81,0,1,0,0,0,0,1,1,A4
0,0,1,3,0,1,0,0,0,1,0,0,A4
2,6,14,50,0,1,0,0,0,1,0,1,A4
5,21,47,84,0,1,0,0,0,1,1,0,A4
1,2,5,9,0,1,0,0,0,1,1,1,A4
2,13,14,75,0,1,0,0,1,0,0,0,A4
9,68,154,137,0,1,0,0,1,0,0,1,A4
3,27,61,217,0,1,0,0,1,0,1,0,A4
3,12,80,95,0,1,0,0,1,0,1,1,A4
6,22,151,90,0,1,0,0,1,1,0,0,A4
6,49,111,296,0,1,0,0,1,1,0,1,A4
2,19,42,37,0,1,0,0,1,1,1,0,A4
9,34,77,550,0,1,0,0,1,1,1,1,A4
10,39,265,314,0,1,0,1,0,0,0,0,A4
6,23,53,94,0,1,0,1,0,0,0,1,A3
5,39,133,237,0,1,0,1,0,0,1,0,A4
1,9,10,37,0,1,0,1,0,0,1,1,A4
4,33,112,199,0,1,0,1,0,1,0,0,A4
7,28,62,221,0,1,0,1,0,1,0,1,A3
5,43,48,86,0,1,0,1,0,1,1,0,A4
2,16,36,64,0,1,0,1,0,1,1,1,A4
9,36,81,574,0,1,0,1,1,0,0,0,A4
1,5,12,43,0,1,0,1,1,0,0,1,A3
9,36,246,584,0,1,0,1,1,0,1,0,A4
7,59,133,355,0,1,0,1,1,0,1,1,A4
7,56,63,112,0,1,0,1,1,1,0,0,A4
4,16,108,257,0,1,0,1,1,1,0,1,A3
7,29,64,457,0,1,0,1,1,1,1,0,A4
3,22,75,178,0,1,0,1,1,1,1,1,A4
9,35,237,141,0,1,1,0,0,0,0,0,A4
5,22,98,87,0,1,1,0,0,0,0,1,A4
8,30,136,362,0,1,1,0,0,0,1,0,A4
3,14,62,220,0,1,1,0,0,0,1,1,A4
10,39,266,158,0,1,1,0,0,1,0,0,A4
2,18,60,71,0,1,1,0,0,1,0,1,A4
6,46,104,369,0,1,1,0,0,1,1,0,A4
5,38,127,226,0,1,1,0,0,1,1,1,A4
0,0,0,1,0,1,1,0,1,0,0,0,A4
8,61,138,368,0,1,1,0,1,0,0,1,A4
2,9,61,36,0,1,1,0,1,0,1,0,A4
5,43,97,259,0,1,1,0,1,0,1,1,A4
8,31,69,366,0,1,1,0,1,1,0,0,A4
8,61,207,122,0,1,1,0,1,1,0,1,A4
0,1,3,6,0,1,1,0,1,1,1,0,A4
3,13,56,201,0,1,1,0,1,1,1,1,A4
4,15,66,117,0,1,1,1,0,0,0,0,A4
7,55,62,222,0,1,1,1,0,0,0,1,A4
9,73,248,588,0,1,1,1,0,0,1,0,A4
3,11,50,178,0,1,1,1,0,0,1,1,A4
2,8,18,32,0,1,1,1,0,1,0,0,A4
8,31,70,498,0,1,1,1,0,1,0,1,A4
10,76,171,456,0,1,1,1,0,1,1,0,A4
1,4,10,18,0,1,1,1,0,1,1,1,A4
1,3,6,31,0,1,1,1,1,0,0,0,A4
6,46,155,368,0,1,1,1,1,0,0,1,A4
2,8,18,32,0,1,1,1,1,0,1,0,A4
